Number,Title,Yardage,Description,TSS,Duration
1,Endurance Build #1,2000,"Warm Up 400 as: 200 Swim @50–70% 4x25 Kick – Take 5s 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :53 (CS) on 1:05 Main Set 4x600 as follows, w/ 20s in between each: - #1 in 10:48–10:55 (Z2) - #2 in 11:07–11:14 (Z1) - #3 in 10:35–10:42 (CS) - #4 in 10:35–10:42 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",40,2438
1,Endurance Build #1,2500,"Warm Up 400 as: 200 Swim @50–70% 4x25 Kick – Take 5s 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :53 (CS) on 1:05 Main Set 4x600 as follows, w/ 20s in between each: - #1 in 10:48–10:55 (Z2) - #2 in 11:07–11:14 (Z1) - #3 in 10:35–10:42 (CS) - #4 in 10:35–10:42 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",50,3047
1,Endurance Build #1,3000,"Warm Up 400 as: 200 Swim @50–70% 4x25 Kick – Take 5s 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :53 (CS) on 1:05 Main Set 4x600 as follows, w/ 20s in between each: - #1 in 10:48–10:55 (Z2) - #2 in 11:07–11:14 (Z1) - #3 in 10:35–10:42 (CS) - #4 in 10:35–10:42 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",60,3656
1,Endurance Build #1,3500,"Warm Up 400 as: 200 Swim @50–70% 4x25 Kick – Take 5s 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :53 (CS) on 1:05 Main Set 4x600 as follows, w/ 20s in between each: - #1 in 10:48–10:55 (Z2) - #2 in 11:07–11:14 (Z1) - #3 in 10:35–10:42 (CS) - #4 in 10:35–10:42 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",70,4266
1,Endurance Build #1,3700,"Warm Up 400 as: 200 Swim @50–70% 4x25 Kick – Take 5s 100 Pull @70% Drill Set – Take 5–10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim Pre-Set 8x50 Swim in :53 (CS) on 1:05 Main Set 4x600 as follows, w/ 20s in between each: - #1 in 10:48–10:55 (Z2) - #2 in 11:07–11:14 (Z1) - #3 in 10:35–10:42 (CS) - #4 in 10:35–10:42 (CS) Cool Down 4x25 Press Your Buoy Drill 2x50 Swim – focused on PYB and a neutral head – Take 5–10s between each",74,4510
2,Speed and Power #1,2000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 TARZAN Swim Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :48 (10%) on 1:00 - 4x100 Swim in 1:46 (CS) on 2:00 - 100 EASY Cool Down 4x25 TARZAN Swim 100 Choice,40,2438
2,Speed and Power #1,2500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 TARZAN Swim Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :48 (10%) on 1:00 - 4x100 Swim in 1:46 (CS) on 2:00 - 100 EASY Cool Down 4x25 TARZAN Swim 100 Choice,50,3047
2,Speed and Power #1,3000,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 TARZAN Swim Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :48 (10%) on 1:00 - 4x100 Swim in 1:46 (CS) on 2:00 - 100 EASY Cool Down 4x25 TARZAN Swim 100 Choice,60,3656
2,Speed and Power #1,3499,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 TARZAN Swim Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :48 (10%) on 1:00 - 4x100 Swim in 1:46 (CS) on 2:00 - 100 EASY Cool Down 4x25 TARZAN Swim 100 Choice,69,4265
2,Speed and Power #1,3500,Warm Up 500 as: - 300 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% Drill Set 8x25 TARZAN Swim Pre-Set Eight Times Through... - 25 KOB – Take 5s - 50 Swim @80% – Take 10s Main Set Two Times Through... - 10x50 Swim in :48 (10%) on 1:00 - 4x100 Swim in 1:46 (CS) on 2:00 - 100 EASY Cool Down 4x25 TARZAN Swim 100 Choice,70,4266
